FID,Shape,AREA,NEW,FULL,Area,District,2018ppl,2018income,2018power,2018datanum,2019ppl,2019income,2019power,2019datanum,2020ppl,2020income,2020power,2020datanum
196,Polygon,181273.1835,6300400034,臺北市中山區朱馥里,中山區,朱馥里,6121,2368037,851268,823,6083,2044452,810571,821,6023,1975679,964496,815
182,Polygon,199450.6107,6300400029,臺北市中山區江山里,中山區,江山里,7780,3493370,1271799,"1,079",7676,3001512,1203153,"1,067",7554,3038174,1441852,"1,070"
175,Polygon,172667.0228,6300400028,臺北市中山區江寧里,中山區,江寧里,7139,3418699,1566836,"1,365",7106,3018620,1502744,"1,360",6989,2951080,1796898,"1,362"
152,Polygon,196221.7653,6300400025,臺北市中山區行仁里,中山區,行仁里,8438,2643354,3063793,"2,712",8335,2081083,2920212,"2,709",8142,2084526,3382826,"2,706"
151,Polygon,121044.4367,6300400026,臺北市中山區行孝里,中山區,行孝里,4228,1280764,1595156,"1,418",4222,1041091,1522868,"1,418",4232,1076915,1744174,"1,416"
150,Polygon,178391.8728,6300400024,臺北市中山區行政里,中山區,行政里,7642,2079313,2297609,"2,030",7534,1674256,2229644,"2,029",7454,1668848,2500707,"2,027"
174,Polygon,193600.1036,6300400021,臺北市中山區松江里,中山區,松江里,6766,5598296,1528555,"1,216",6585,4846931,1419824,"1,143",6497,3860897,1610797,"1,146"
107,Polygon,1103473.697,6300400041,臺北市中山區金泰里,中山區,金泰里,8057,6825218,7926,3,8081,6703096,13988,6,8123,7517030,37781,17
161,Polygon,130596.0675,6300400010,臺北市中山區恆安里,中山區,恆安里,5011,2918716,30712,13,4985,3028074,32832,13,5049,2894367,28089,15
254,Polygon,165564.2441,6300400037,臺北市中山區埤頭里,中山區,埤頭里,3416,1405598,693814,615,3334,1203596,654323,611,3311,1309839,714630,611
211,Polygon,155243.2265,6300400005,臺北市中山區康樂里,中山區,康樂里,2627,1164738,11624,3,2625,980459,13095,4,2640,957875,11421,4
212,Polygon,223356.5678,6300400040,臺北市中山區復華里,中山區,復華里,4852,2846867,2641989,"2,271",4810,2587823,2585715,"2,271",4766,2577876,3018960,"2,271"
156,Polygon,109372.5668,6300400011,臺北市中山區晴光里,中山區,晴光里,5605,2638372,39263,18,5577,3020253,37595,19,5520,2607461,21338,11
148,Polygon,333906.4183,6300400008,臺北市中山區集英里,中山區,集英里,7432,4456451,3598224,"3,532",7406,3384143,3469065,"3,527",7330,3140444,3755446,"3,525"
128,Polygon,582101.8339,6300400012,臺北市中山區圓山里,中山區,圓山里,4360,1622601,2072765,"2,227",4352,1299854,1995934,"2,223",4282,1211378,2249384,"2,220"
172,Polygon,136789.701,6300400022,臺北市中山區新生里,中山區,新生里,5059,1748138,2752978,"2,368",4954,1397784,2630160,"2,371",4806,1306300,2875726,"2,366"
125,Polygon,635173.3044,6300400019,臺北市中山區新庄里,中山區,新庄里,5215,1485487,16568,6,5085,1173839,15300,7,4952,1096608,16133,8
149,Polygon,109333.7541,6300400018,臺北市中山區新喜里,中山區,新喜里,5533,1969978,2176686,"2,026",5418,1626316,2103201,"2,026",5276,1589816,2405639,"2,027"
163,Polygon,139193.0749,6300400020,臺北市中山區新福里,中山區,新福里,5293,2413889,1209281,"1,052",5281,2290261,1170098,"1,050",5245,2322728,1290634,"1,045"
