"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"中山區","金泰里",6825218,7926,3,6703096,13988,6,7517030,37781,17,2642,2331.33333333333,2222.41176470588
"中山區","恆安里",2918716,30712,13,3028074,32832,13,2894367,28089,15,2362.46153846154,2525.53846153846,1872.6
"中山區","埤頭里",1405598,693814,615,1203596,654323,611,1309839,714630,611,1128.15284552846,1070.90507364975,1169.60720130933
"中山區","康樂里",1164738,11624,3,980459,13095,4,957875,11421,4,3874.66666666667,3273.75,2855.25
"中山區","復華里",2846867,2641989,2271,2587823,2585715,2271,2577876,3018960,2271,1163.35931307794,1138.57992073976,1329.35270805812
"中山區","晴光里",2638372,39263,18,3020253,37595,19,2607461,21338,11,2181.27777777778,1978.68421052632,1939.81818181818
"中山區","集英里",4456451,3598224,3532,3384143,3469065,3527,3140444,3755446,3525,1018.74971687429,983.573858803516,1065.37475177305
"中山區","圓山里",1622601,2072765,2227,1299854,1995934,2223,1211378,2249384,2220,930.743152222721,897.856050382366,1013.23603603604
"中山區","新生里",1748138,2752978,2368,1397784,2630160,2371,1306300,2875726,2366,1162.57516891892,1109.3040911008,1215.43786982249
"中山區","新庄里",1485487,16568,6,1173839,15300,7,1096608,16133,8,2761.33333333333,2185.71428571429,2016.625
"中山區","新喜里",1969978,2176686,2026,1626316,2103201,2026,1589816,2405639,2027,1074.37611056269,1038.10513326752,1186.79773063641
"中山區","新福里",2413889,1209281,1052,2290261,1170098,1050,2322728,1290634,1045,1149.5066539924,1114.37904761905,1235.05645933014
"中山區","聚盛里",1621977,2576568,3047,1404107,2451864,3047,1120176,2618622,3040,845.608139153265,804.681325894322,861.388815789474
"中山區","聚葉里",2069461,2212128,2471,1612370,2124716,2483,1667460,2352197,2473,895.235936867665,855.705195328232,951.151233319854
"中山區","劍潭里",1402968,9145,3,1232013,8852,4,1250591,10449,5,3048.33333333333,2213,2089.8
"中山區","興亞里",3268189,3376373,2963,2766807,3204481,2954,2733689,3383138,2947,1139.51164360446,1084.79383886256,1147.99389209365
"中山區","龍洲里",2257254,1719460,1838,1979430,1637670,1835,1920619,1958647,1832,935.50598476605,892.463215258856,1069.13045851528
"中正區","三愛里",6251925,61067,27,5937247,66327,21,5650130,65449,23,2261.74074074074,3158.42857142857,2845.60869565217
"中正區","文北里",6656677,2370134,1707,5729473,2299484,1707,5678137,2493082,1703,1388.47920328061,1347.09080257762,1463.93540810335
"中正區","文盛里",1088609,1135752,1017,1021730,1097812,1016,1066555,1254647,1009,1116.76696165192,1080.52362204724,1243.45589692765
"中正區","文祥里",4762607,14711,6,4439436,16400,6,4321629,16577,7,2451.83333333333,2733.33333333333,2368.14285714286
"中正區","水源里",1181706,1498650,1393,1054351,1400388,1384,1068466,1590205,1387,1075.84350323044,1011.84104046243,1146.50684931507
"中正區","永功里",2280993,2003630,2144,1867505,1872859,2141,1960794,2049668,2141,934.528917910448,874.758991125642,957.341429238674
"中正區","永昌里",1392437,1787754,1840,1087030,1658277,1836,1117289,1869288,1828,971.605434782609,903.200980392157,1022.58643326039
"中正區","光復里",1970805,2036240,1911,1737634,1975271,1906,1725031,2145665,1895,1065.53636839351,1036.34365162644,1132.27704485488
"中正區","幸市里",4422285,2777859,2081,4456620,2667311,2074,4492373,2832249,2074,1334.86737145603,1286.07087753134,1365.59739633558
"中正區","幸福里",2778586,2536849,1920,2534506,2390702,1918,2469195,2610447,1908,1321.27552083333,1246.45568300313,1368.15880503145
"中正區","忠勤里",1327845,24248,18,954124,25727,20,968471,22460,24,1347.11111111111,1286.35,935.833333333333
"中正區","東門里",6236146,1492239,1344,8167388,1366617,1343,8482093,1534992,1330,1110.296875,1017.58525688757,1154.12932330827
"中正區","林興里",1415364,1728859,1910,1192070,1619335,1905,1164163,1927932,1890,905.161780104712,850.044619422572,1020.06984126984
"中正區","板溪里",2419578,1274948,1270,1944090,1260828,1265,2046511,1404356,1263,1003.89606299213,996.701976284585,1111.92082343626
"中正區","河堤里",2188285,17759,8,1852048,20461,8,1761444,22752,11,2219.875,2557.625,2068.36363636364
"中正區","南門里",3694189,4760,2,3622294,9326,4,3062896,7622,4,2380,2331.5,1905.5
"中正區","南福里",6307911,3755445,3567,5880198,3497877,3565,5982024,3923633,3555,1052.83010933558,981.171669004208,1103.69423347398
"中正區","建國里",883834,320810,354,768954,304044,345,858776,320034,341,906.242937853107,881.286956521739,938.516129032258
"中正區","梅花里",2161835,135386,93,1906946,134677,91,1839579,151201,90,1455.76344086022,1479.96703296703,1680.01111111111
"中正區","頂東里",2735946,38029,9,2383557,33307,11,2349742,39849,11,4225.44444444444,3027.90909090909,3622.63636363636
"中正區","富水里",1101735,730473,803,950522,743691,793,913984,812247,793,909.679950186799,937.819672131148,1024.2711223203
"中正區","愛國里",1396271,12501,4,1236882,12399,4,1209373,14672,5,3125.25,3099.75,2934.4
"中正區","新營里",5238475,30062,19,4595061,31675,19,4772212,30053,21,1582.21052631579,1667.10526315789,1431.09523809524
"中正區","網溪里",2604195,1084458,1109,2209373,1031425,1113,2168639,1245134,1112,977.870153291253,926.707097933513,1119.72482014388
"中正區","黎明里",1769657,563076,407,1568567,544929,404,1482847,539997,404,1383.47911547912,1348.83415841584,1336.62623762376
"中正區","螢圃里",2439712,456293,455,2332853,336368,456,2127213,528710,456,1002.84175824176,737.649122807018,1159.45175438596
"中正區","螢雪里",1600608,8242,5,1328611,9607,7,1298047,10213,7,1648.4,1372.42857142857,1459
"中正區","龍光里",1630645,1009918,990,1387118,948048,977,1500003,1069913,976,1020.11919191919,970.366427840328,1096.22233606557
"中正區","龍福里",2662579,1806879,1740,2274691,1676749,1719,2249260,1831419,1697,1038.43620689655,975.421175101803,1079.20978196818
"中正區","龍興里",1413343,888833,965,1144735,782816,933,1102691,879502,931,921.070466321244,839.031082529475,944.685284640172
"內湖區","大湖里",3203908,2388012,2308,2733080,2235833,2307,2695040,2425212,2304,1034.66724436742,969.151712180321,1052.609375
"內湖區","五分里",3551966,3138494,3057,2802078,3051180,3055,2797593,3389145,3051,1026.65816159634,998.749590834697,1110.83087512291
"內湖區","內湖里",2932678,12929,10,2647253,25443,13,2801884,27535,15,1292.9,1957.15384615385,1835.66666666667
"內湖區","內溝里",1673959,1529352,1615,1345104,1428240,1615,1338712,1568021,1616,946.967182662539,884.359133126935,970.310024752475
